field_1,LAT,LON,PLOT,UNQE_FIRE_,FEATURE_CA,GIS_ACRES,FIRE_YEAR_
"324",46.283627000000003,-117.406271000000004,"86557",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"441",46.281086000000002,-117.333860999999999,"50449",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"500",46.153278000000000,-117.441620999999998,"58145",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"1336",46.211897000000000,-117.508967999999996,"52155",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"1782",46.134849000000003,-117.402045000000001,"51678",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"1797",46.188541999999998,-117.504339999999999,"81626",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"1821",46.138888000000001,-117.443139000000002,"95386",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"2882",46.158880000000003,-117.466902000000005,"78315",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"3464",46.211613000000000,-117.542676000000000,"51914",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"3614",46.261848000000001,-117.487886000000003,"89758",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"4089",46.213228999999998,-117.461645000000004,"61393",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"4100",46.239370999999998,-117.463689000000002,"81403",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"4330",46.237955999999997,-117.497928000000002,"67181",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"5031",46.257449000000001,-117.468044000000006,"62872",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"5662",46.256171000000002,-117.389060999999998,"95091",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"5684",46.231009000000000,-117.433451000000005,"81593",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"6067",46.208250000000000,-117.394476999999995,"88961",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"6328",46.190559000000000,-117.538139000000001,"54408",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"6538",46.132973000000000,-117.366716999999994,"54844",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"6558",46.159253999999997,-117.399471000000005,"97007",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"6610",46.302846000000002,-117.290602000000007,"92058",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"6711",46.182702999999997,-117.392690999999999,"91142",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"6864",46.211075999999998,-117.438393000000005,"69681",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"6950",46.138888000000001,-117.443139000000002,"95386",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"7644",46.188541999999998,-117.504339999999999,"81626",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"7723",46.161152000000001,-117.372033000000002,"66680",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"9831",46.153278000000000,-117.441620999999998,"58145",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"9965",46.187719999999999,-117.431359000000000,"96825",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"10258",46.263741000000003,-117.316911000000005,"56549",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"10593",46.192019000000002,-117.470861999999997,"79869",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"10656",46.180140000000002,-117.359078999999994,"99493",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"11003",46.142842999999999,-117.472111999999996,"93759",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"11096",46.160550000000001,-117.499105999999998,"90645",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"11433",46.232427000000001,-117.340339999999998,"58179",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"11502",46.158880000000003,-117.466902000000005,"78315",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"12422",46.281086000000002,-117.333860999999999,"50449",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"12567",46.261848000000001,-117.487886000000003,"89758",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"13347",46.182702999999997,-117.392690999999999,"91142",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"13350",46.231009000000000,-117.433451000000005,"81593",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"13351",46.211613000000000,-117.542676000000000,"51914",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"14125",46.283627000000003,-117.406271000000004,"86557",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"14129",46.134849000000003,-117.402045000000001,"51678",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"14495",46.142842999999999,-117.472111999999996,"93759",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"14626",46.263741000000003,-117.316911000000005,"56549",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"14699",46.213228999999998,-117.461645000000004,"61393",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"14880",46.239370999999998,-117.463689000000002,"81403",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"15299",46.132973000000000,-117.366716999999994,"54844",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"15300",46.159253999999997,-117.399471000000005,"97007",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"15468",46.234983000000000,-117.356161999999998,"82332",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"15594",46.187719999999999,-117.431359000000000,"96825",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17261",46.256171000000002,-117.389060999999998,"95091",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17770",46.180140000000002,-117.359078999999994,"99493",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17868",46.160550000000001,-117.499105999999998,"90645",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17875",46.161152000000001,-117.372033000000002,"66680",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17883",46.232427000000001,-117.340339999999998,"58179",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
