LAT,LON,PLOT,INVYR,STATECD,UNITCD,COUNTYCD
46.283627,-117.406271,"86557","2003","53","9","3"
46.281086,-117.333861,"50449","2005","53","9","3"
46.153278,-117.441621,"58145","2002","53","9","23"
46.211897,-117.508968,"52155","2006","53","9","23"
46.134849,-117.402045,"51678","2003","53","9","3"
46.188542,-117.50434,"81626","2003","53","9","23"
46.138888,-117.443139,"95386","2003","53","9","23"
46.15888,-117.466902,"78315","2002","53","9","23"
46.211613,-117.542676,"51914","2006","53","9","23"
46.261848,-117.487886,"89758","2005","53","9","23"
46.213229,-117.461645,"61393","2007","53","9","23"
46.239371,-117.463689,"81403","2007","53","9","23"
46.237956,-117.497928,"67181","2008","53","9","23"
46.257449,-117.468044,"62872","2007","53","9","23"
46.256171,-117.389061,"95091","2009","53","9","3"
46.265824,-117.529108,"52960","2006","53","9","23"
46.231009,-117.433451,"81593","2006","53","9","23"
46.20825,-117.394477,"88961","2008","53","9","3"
46.190559,-117.538139,"54408","2008","53","9","23"
46.267203,-117.564164,"62834","2003","53","9","23"
46.286959,-117.493008,"63990","2008","53","9","23"
46.132973,-117.366717,"54844","2008","53","9","3"
46.159254,-117.399471,"97007","2008","53","9","3"
46.302846,-117.290602,"92058","2007","53","9","3"
46.182703,-117.392691,"91142","2006","53","9","3"
46.211076,-117.438393,"69681","2008","53","9","23"
46.138888,-117.443139,"95386","2013","53","9","23"
46.188542,-117.50434,"81626","2013","53","9","23"
46.161152,-117.372033,"66680","2010","53","9","3"
46.153278,-117.441621,"58145","2012","53","9","23"
46.18772,-117.431359,"96825","2010","53","9","23"
46.263741,-117.316911,"56549","2011","53","9","3"
46.192019,-117.470862,"79869","2009","53","9","23"
46.18014,-117.359079,"99493","2009","53","9","3"
46.142843,-117.472112,"93759","2011","53","9","23"
46.16055,-117.499106,"90645","2010","53","9","23"
46.288661,-117.528365,"95278","2011","53","9","23"
46.232427,-117.34034,"58179","2010","53","9","3"
46.15888,-117.466902,"78315","2012","53","9","23"
46.281086,-117.333861,"50449","2015","53","9","3"
46.267203,-117.564164,"62834","2013","53","9","23"
46.261848,-117.487886,"89758","2015","53","9","23"
46.182703,-117.392691,"91142","2016","53","9","3"
46.265824,-117.529108,"52960","2016","53","9","23"
46.231009,-117.433451,"81593","2016","53","9","23"
46.211613,-117.542676,"51914","2016","53","9","23"
46.283627,-117.406271,"86557","2013","53","9","3"
46.134849,-117.402045,"51678","2013","53","9","3"
46.288661,-117.528365,"95278","2021","53","9","23"
46.142843,-117.472112,"93759","2021","53","9","23"
46.263741,-117.316911,"56549","2021","53","9","3"
46.213229,-117.461645,"61393","2017","53","9","23"
46.239371,-117.463689,"81403","2017","53","9","23"
46.132973,-117.366717,"54844","2018","53","9","3"
46.159254,-117.399471,"97007","2018","53","9","3"
46.234983,-117.356162,"82332","2021","53","9","3"
46.18772,-117.431359,"96825","2020","53","9","23"
46.256171,-117.389061,"95091","2019","53","9","3"
46.18014,-117.359079,"99493","2019","53","9","3"
46.16055,-117.499106,"90645","2020","53","9","23"
46.161152,-117.372033,"66680","2020","53","9","3"
46.232427,-117.34034,"58179","2020","53","9","3"
46.20825,-117.394477,"88961","2018","53","9","3"
46.192019,-117.470862,"79869","2019","53","9","23"
46.302846,-117.290602,"92058","2017","53","9","3"
46.257449,-117.468044,"62872","2017","53","9","23"
46.190559,-117.538139,"54408","2018","53","9","23"
46.237956,-117.497928,"67181","2018","53","9","23"
46.286959,-117.493008,"63990","2018","53","9","23"
46.211897,-117.508968,"52155","2016","53","9","23"
46.211076,-117.438393,"69681","2018","53","9","23"
46.290432,-117.323776,"10","2001","53","9","3"
46.207653,-117.347954,"12","2001","53","9","3"
46.271824,-117.467125,"6","2001","53","9","23"
46.386748,-117.273063,"75032","2002","53","9","3"
46.396016,-117.258481,"98632","2004","53","9","3"
