CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,ECOSUBCD,CONGCD,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,EMAP_HEX,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,ECO_UNIT_PNW,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,CONDCHNGCD_RMRS,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PRECIPITATION,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD,INCIDENT,FIRE_YEAR_,area,perimeter
"22398965010497","22132266010497","92010497",,"2005","53","8","47","94525","1",,"2005","9","8",,"1","501","7","0",48.431215,-120.403541,"5700",,,"2",,M242Dd,"5304",2,,"1",2008/01/24 20:48:22,2024/08/13 13:05:25,OFFSET,17.5,,"1","4","24","201","1","5",,"4",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,Little Bridge,"1935",5492877.779508292675018,11904.583155274764067
"290008491489998","273493076489998","92010497","22398965010497","2015","53","8","47","94525","1",,"2015","8","17",9.9,"2","501","7","0",48.431215,-120.403541,"5700","2","2","2",,M242Dd,"5304",6.1,,"1",2016/03/07 10:51:16,2024/08/13 13:05:25,OFFSET,16,,"1","4","24","201","2","5",,"4","1",,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,Little Bridge,"1935",5492877.779508292675018,11904.583155274764067
"22931021010497","29361192010497","98010497",,"2008","53","8","77","72001","2",,"2008","9","30",,"1","501",,"0",46.505258,-120.402614,"1900",,,"5",,342Ig,"5304",3,,"1",2009/06/06 11:51:46,2024/08/13 13:17:55,OFFSET,16.5,,"2","1","24","1","5","7","0",,,,,,,,,,9.2,"2",,,,,,,,,,,,,,,,Konnowac Pass,"2006",9044193.527632087469101,15975.530680797373861
"484819357489998","468963851489998","98010497","22931021010497","2018","53","8","77","72001","2",,"2018","9","1",9.9,"2","501",,,46.505258,-120.402614,"1900","2","2","5",,342Ig,"5304",7.2,,"1",2019/04/26 17:56:44,2024/08/13 13:17:55,OFFSET,,,"2","4","24","1","6","7",,,,,,,,,,,9.2,"2",,,,,,,,,,,,,,,,Konnowac Pass,"2006",9044193.527632087469101,15975.530680797373861
"29883163010497","29878201010497","98010497",,"2009","53","8","77","50331","2",,"2009","9","30",,"1","501",,,46.289391,-120.334726,"1300",,,"1",,342Ig,"5304",3,,"1",2010/05/27 12:48:04,2024/08/13 13:17:55,OFFSET,16.5,,"2","1","24","1","5","8",,,,,,,,,,,9.2,"1",,,,,,,,,,,,,,,,TULE #6,"2016",34288605.944813728332520,28316.485185545898275
"22930960010497","29361192010497","98010497","10362458010901","2008","53","8","77","66579","2",,"2008","9","30",5,"1","501",,"0",46.279069,-120.304476,"1300",,,"5","5",342Ig,"5304",3,"2","1",2009/06/06 11:51:39,2024/08/13 13:17:55,OFFSET,16.5,,"2","1","24","1","5","7","0",,,,,,,,,,9.2,"2",,,,,,,,,,,,,,,,TULE #6,"2016",34288605.944813728332520,28316.485185545898275
"484819324489998","468963851489998","98010497","22930960010497","2018","53","8","77","66579","2",,"2018","9","1",9.9,"2","501",,,46.279069,-120.304476,"1300","2","2","5",,342Ig,"5304",7.2,,"1",2019/04/26 17:56:43,2024/08/13 13:17:55,OFFSET,,,"2","4","24","1","6","7",,,,,,,,,,,9.2,"2",,,,,,,,,,,,,,,,TULE #6,"2016",34288605.944813728332520,28316.485185545898275
"558629696126144","532456097126144","98010497","29883163010497","2019","53","8","77","50331","2",,"2019","9","1",9.9,"2","501",,,46.289391,-120.334726,"1300","2","2","1",,342Ig,"5304",8,,"1",2020/02/11 14:23:19,2024/08/13 13:17:55,OFFSET,,,"2","4","24","1","6","8",,,,,,,,,,,9.2,"1",,,,,,,,,,,,,,,,TULE #6,"2016",34288605.944813728332520,28316.485185545898275
"29881551010497","29878201010497","92010497",,"2009","53","8","47","79897","2",,"2009","5","13",,"1","501",,,48.278869,-119.738263,"1500",,,"1",,342Im,"5304",3,,"1",2010/05/27 12:46:24,2024/08/13 13:05:25,OFFSET,17,,"1","1","24","1","5","8","0",,,,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,Chiliwist,"1989",4906785.971822857856750,8626.146006104137996
"558629645126144","532456097126144","92010497","29881551010497","2019","53","8","47","79897","2",,"2019","9","1",10.3,"2","501",,,48.278869,-119.738263,"1500","2","2","1",,342Im,"5304",8,,"1",2020/02/11 14:23:12,2024/08/13 13:05:25,OFFSET,,,"2","4","24","1","6","8",,,,,,,,,,,9.2,"1",,,,,,,,,,,,,,,,Chiliwist,"1989",4906785.971822857856750,8626.146006104137996
"48205038010497","48201639010497","91010497",,"2011","53","9","43","56442","3","2","2011","5","18",,"1","501",,,47.753181,-118.021399,"2500",,,"3",,342Ib,"5305",5,,"1",2012/07/26 14:42:20,2024/08/13 13:01:41,OFFSET,16,,"2","4","24","1","5","10",,,"0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,Mill Canyon,"2004",4422099.963584234938025,14687.329703170194989
"750082661290487","719906688290487","91010497",,"2021","53","9","43","56442","3","2","2022","8","6",,"1","501",,,47.753181,-118.021399,"2500",,,"3",,342Ib,"5305",9,,"1",2023/02/22 23:57:26,2024/08/13 13:01:41,OFFSET,14.5,,"2","1","24","1","6","10",,,"0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,Mill Canyon,"2004",4422099.963584234938025,14687.329703170194989
"24478863010900","24456185010900","92010497",,"2003","53","8","47","87679","1",,"2003","6","26",,"1","501","5","0",48.317048,-119.446364,"1300",,,"5",,342Im,"5304",1.7,,"1",2005/04/17 13:21:52,2024/08/13 13:05:25,OFFSET,18,,"1","4","24","1","5","2","0","7",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"0","0","0",,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"24853137010900","24548538010900","92010497",,"2004","53","8","47","68146","3","2","2004","9","14",,"1","501","5",,48.368047,-119.434277,"1900",,,"1",,342Im,"5304",2,,"1",2005/04/18 21:01:13,2024/08/13 13:05:25,OFFSET,18,,"1","4","24","1","5","3","0","4",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"29881557010497","29878201010497","92010497",,"2009","53","8","47","72740","2",,"2009","5","13",,"1","501",,,48.273646,-119.366112,"1100",,,"1",,342Im,"5304",3,,"1",2010/05/27 12:46:25,2024/08/13 13:05:25,OFFSET,17,,"1","1","24","1","5","8","0",,,,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"48204008010497","48201639010497","92010497",,"2011","53","8","47","86957","1",,"2011","4","17",,"1","501","4","0",48.279585,-119.336919,"3100",,,"3",,M333Ah,"5304",5,,"1",2012/07/26 14:41:33,2024/08/13 13:05:25,OFFSET,16.5,,"1","4","24","1","5","10",,"4","0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"44541727020004","44513111020004","92010497","24478863010900","2013","53","8","47","87679","1",,"2013","8","28",10.2,"2","501","5","0",48.317048,-119.446364,"1300","2","2","5",,342Im,"5304",6,,"1",2014/04/18 09:34:08,2024/08/13 13:05:25,OFFSET,16,,"1","4","24","1","6","2",,"7","0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"216960872020004","208669869020004","92010497",,"2014","53","8","47","68146","2",,"2014","12","2",,"1","501",,,48.368047,-119.434277,"1900",,,"1",,342Im,"5304",6,,"1",2015/02/17 12:59:03,2024/08/13 13:05:25,OFFSET,16,,"2","1","24","1","6","3",,,"0",,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"750082774290487","719906688290487","92010497","48204008010497","2021","53","8","47","86957","1",,"2021","6","24",10.2,"2","501","4","0",48.279585,-119.336919,"3100","2","2","3",,M333Ah,"5304",9,,"1",2022/03/07 21:00:22,2024/08/13 13:05:25,OFFSET,15,,"1","4","24","1","6","10",,"4","0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
