,LAT,LON,PLOT
0,47.966031,-123.1849,99851
1,47.639772,-120.416372,59643
2,47.432623,-123.763728,72767
3,46.169883,-122.280547,60111
4,48.615504,-119.910791,93596
5,47.947939,-121.059405,57253
6,48.979161,-120.489397,84273
7,48.848467,-121.774165,53377
8,47.950844,-120.833212,80234
9,47.419276,-121.119147,56804
10,48.825543,-120.494181,96057
11,46.239567,-121.971594,86348
12,48.588157,-118.958303,88845
13,46.488796,-121.47215,93337
14,47.567487,-121.506157,82163
15,48.671085,-119.913547,73245
16,48.827821,-117.601686,60359
17,48.252744,-121.419688,74661
18,48.746059,-121.54369,75761
19,48.252613,-121.268194,99098
20,48.289555,-117.645627,59454
21,48.897164,-118.087829,71681
22,48.895461,-119.371409,73443
23,48.502084,-120.44665,58073
24,47.593373,-119.867255,83774
25,47.748499,-117.584388,51712
26,46.676148,-121.45401,75338
27,46.587602,-117.281097,57231
28,46.66984,-119.020648,98201
29,47.865194,-123.287937,97408
30,46.950732,-117.488406,79365
31,48.063758,-117.982114,91177
32,47.071106,-121.024484,72745
33,48.228467,-117.095683,87701
34,46.20938,-120.899241,57339
35,47.107505,-122.252271,51568
36,48.409597,-122.701899,50474
37,48.766126,-122.424122,92760
38,47.548415,-122.69006,58379
39,48.248932,-119.98123,63560
40,47.875928,-121.164556,71212
41,48.171307,-121.043211,57147
42,48.456055,-121.722484,97275
43,47.568726,-118.19409,85958
44,46.655147,-119.312058,67511
45,47.366002,-118.134092,83805
46,47.406196,-123.332341,98418
47,48.75207,-120.278324,65561
48,48.08677,-124.058074,76424
49,47.430317,-123.863863,85646
50,47.663515,-121.393551,80979
51,47.754909,-121.203163,84624
52,48.517283,-118.960708,69000
53,48.496233,-117.32735,80531
54,48.380631,-121.772721,65188
55,46.169043,-122.212286,79930
56,46.0454,-121.724422,59350
57,48.155458,-121.44677,53571
58,48.640048,-117.724341,97085
59,48.774479,-121.954824,86652
60,47.065323,-121.193246,80689
61,48.602368,-117.425128,86840
62,48.703519,-120.316212,86121
63,47.863286,-121.384973,96656
64,45.801248,-121.875471,92421
65,48.588642,-119.776426,84493
66,48.352514,-121.591456,77308
67,48.134269,-120.13392,82728
68,48.256438,-120.012301,99766
69,48.674586,-120.030381,62827
70,48.301605,-120.151249,87974
71,48.104532,-120.06566,73751
72,48.918142,-119.378927,61269
73,48.026513,-120.063324,86632
74,48.226394,-119.977614,69532
75,48.834757,-118.967702,71090
76,48.347078,-119.977565,71067
77,48.548365,-119.257357,70509
78,48.026936,-119.989652,98203
79,47.985968,-120.062728,90566
80,47.94905,-123.065168,90829
81,48.544243,-119.138979,99377
82,45.918773,-121.768432,82671
