Plot_ID,Species,DBH,Height,TCR,CCR,Note
78847_DMS,AS,2,15,80,40,
78847_DMS,PP,2,14,90,80,
78847_DMS,DF,2,14,100,90,
78847_DMS,DF,2,14,100,90,
78847_DMS,DF,2,16,90,90,
78847_DMS,WL,2,17,85,80,
78847_DMS,WL,4,25,85,80,
78847_DMS,WL,4,24,95,90,
78847_DMS,LP,2,15,90,80,
78847_DMS,LP,2,14,80,80,
78847_DMS,LP,2,14,90,80,
146403_DMS,DF,12,49,80,70,
146403_DMS,DF,20.7,87,80,50,
146403_DMS,DF,22.3,107,50,40,
146403_DMS,DF,3.3,19,90,70,
5025_CHN,DF,2,15,100,90,
5025_CHN,DF,2,15,70,60,
5025_CHN,DF,2,21,80,70,
5025_CHN,LP,2,30,60,40,
5025_CHN,LP,4,38,70,60,
5025_CHN,LP,4,33,60,50,
5025_CHN,WL,2,28,70,60,
5025_CHN,WL,4,39,50,40,
5025_CHN,WL,2,30,60,50,
5025_CHN,ES,2,16,80,70,
5025_CHN,ES,2,18,90,80,
5025_CHN,ES,2,21,100,90,
5025_CHN,AS,2,23,40,30,
5025_CHN,AS,2,20,30,30,
5025_CHN,AS,2,16,30,30,
117941_DMN,WL,2,15,100,90,
117941_DMN,DF,4,20,100,90,
117941_DMN,DF,4,20,80,80,
117941_DMN,DF,4,21,90,90,
117941_DMN,WL,2,14,100,90,
117941_DMN,WL,2,16,100,90,
117941_DMN,DF,6,32,80,70,
117941_DMN,DF,26,108,60,50,
117941_DMN,DF,16,82,80,70,
117870_DHN,WL,2,14,100,90,
117870_DHN,WL,2,14,100,90,
117870_DHN,WL,2,14,100,90,
117870_DHN,LP,2,16,100,90,
117870_DHN,LP,2,16,100,90,
117870_DHN,LP,2,19,100,90,
117900_DHN,RA,2,18,100,90,
117900_DHN,RA,2,18,100,90,
117900_DHN,WL,2,14,100,90,
117900_DHN,WL,2,14,100,90,
117900_DHN,WL,2,14,100,90,
117900_DHN,LP,2,16,100,90,
117900_DHN,LP,2,14,100,90,
117900_DHN,LP,4,16,100,90,
118036_CMN,DF,6,30,70,50,
118036_CMN,WL,18,66,50,40,
118036_CMN,SF,8,43,60,40,
118036_CMN,SF,8,42,50,30,
118036_CMN,WL,6,44,20,10,
118036_CMN,WL,6,45,60,30,
118036_CMN,DF,10,50,40,30,
118036_CMN,WL,6,45,70,30,
118036_CMN,DF,10,40,80,40,
150974_CHS,LP,1.8,13,90,80,
150974_CHS,LP,1.6,13,100,90,
150974_CHS,LP,1.7,13,100,90,
150974_CHS,LP,1.9,14,90,80,
4517_DHS,LP,2,15,80,50,
4517_DHS,WL,2,14,70,60,
4517_DHS,WL,2,20,70,60,
4517_DHS,WL,2,21,70,60,
4517_DHS,DF,2,14,90,60,
4517_DHS,DF,2,18,90,80,
4517_DHS,ES,4,20,100,90,
4615_DMN,DF,10,44,80,50,
4615_DMN,DF,10,35,90,50,
4615_DMN,DF,12,52,60,40,
4644_DMN,DF,14,65,60,40,
4644_DMN,DF,20,69,50,40,
4644_DMN,DF,4,17,100,80,
4644_DMN,DF,2,16,90,80,
4644_DMN,DF,2,17,90,80,
4644_DMN,DF,2,14,90,80,
4644_DMN,DF,2,14,100,90,
4644_DMN,DF,2,14,100,70,
151200_MMS,WL,18,93,60,50,
151200_MMS,DF,22.5,102,60,30,
151200_MMS,DF,16.2,75,60,40,
151200_MMS,DF,12.8,85,70,30,
151200_MMS,DF,10.9,63,70,60,
4817_DHN,PP,4,16,90,80,
4817_DHN,DF,2,16,100,100,
4817_DHN,PP,4,15,90,50,
4817_DHN,PP,4,17,90,80,
4817_DHN,DF,2,14,80,60,
151191_CMS,DF,15.9,77,60,40,
143306_DHS,WL,1.3,14,90,80,
143306_DHS,WL,2,18,90,80,
143306_DHS,AS,0.9,14,40,30,
143306_DHS,AS,1.8,18,60,40,
143306_DHS,WL,2.4,20,90,80,
143306_DHS,AS,0.7,14,40,30,
143360_MMS,WL,2.3,17,90,80,
143360_MMS,WL,2.4,17,90,70,
143360_MMS,DF,6.2,42,40,20,
143360_MMS,DF,7.4,57,30,20,
143360_MMS,RC,2,15,70,40,
143360_MMS,WL,2.3,15,90,80,
151347_MMN,SF,6.8,28,80,70,
151347_MMN,LP,6.4,32,85,80,
151347_MMN,ES,2.4,14,100,90,
151347_MMN,WL,13.8,87,40,30,
151347_MMN,DF,8,43,60,30,
151347_MMN,WL,1.8,15,100,90,
151347_MMN,LP,3.6,21,80,70,
151347_MMN,SF,4.7,26,90,80,
151347_MMN,DF,4.8,26,90,80,
151273_MHN,DF,19.9,83,70,50,
151273_MHN,WL,7.1,49,80,60,
151273_MHN,WL,7.5,51,80,50,
151273_MHN,LP,5.8,20,100,90,
151273_MHN,DF,10.4,36,80,70,
151273_MHN,LP,9.2,29,100,80,
151273_MHN,WL,9.4,32,100,90,
151273_MHN,WL,2,16,100,80,
151273_MHN,LP,1.9,14,100,70,
151273_MHN,SF,2.5,18,100,90,
78826_DMS,PP,4,15,90,80,
78826_DMS,PP,4,14,100,80,
78826_DMS,WL,4,37,90,50,
78826_DMS,WL,4,29,100,80,
78826_DMS,WL,4,27,90,60,
78826_DMS,PP,4,19,80,70,
78826_DMS,PP,6,23,90,80,
78826_DMS,PP,8,27,80,70,
78826_DMS,WL,6,24,40,30,
145400_MMS,RC,5.3,31,90,80,
145400_MMS,RC,10.1,59,80,60,
145400_MMS,DF,8.7,70,30,20,
145400_MMS,DF,9.1,52,40,30,
145400_MMS,WL,7.7,67,60,20,
145400_MMS,DF,10.4,57,40,30,
148091_CHS,LP,2.3,15,100,90,
148091_CHS,LP,2.1,14,100,90,
148091_CHS,LP,2.8,15,100,90,
148091_CHS,LP,2.5,14,100,90,
145501_CMN,DF,12.4,56,70,60,
145501_CMN,DF,10.1,53,60,40,
145501_CMN,WL,10.5,55,70,60,
145501_CMN,WL,12.3,51,80,70,
145501_CMN,ES,7.1,30,90,80,
145501_CMN,SF,3,15,100,90,
145501_CMN,LP,10.7,51,70,30,
145501_CMN,ES,7.2,35,90,80,
145501_CMN,WL,16.4,73,80,70,
151091_DHS,WL,1.6,14,100,70,
151091_DHS,WL,1.5,14,90,80,
151091_DHS,WL,1.3,15,100,90,
151091_DHS,WL,2.1,16,100,90,
151091_DHS,LP,2,15,90,80,
151091_DHS,LP,2.3,14,90,70,
151091_DHS,LP,2.6,17,90,80,
151091_DHS,LP,2.1,14,90,90,
151091_DHS,AS,0.8,14,40,20,
153967_MHS,LP,1.4,14,100,90,
153967_MHS,LP,1.6,17,100,90,
153967_MHS,LP,1.8,17,100,90,
153967_MHS,WL,1.2,18,100,90,
153967_MHS,WL,1.1,14,100,90,
153967_MHS,WL,1.2,15,100,90,
153967_MHS,AS,0.8,16,40,40,
153967_MHS,AS,0.8,15,40,30,
153506_MMS,WL,12.3,80,75,30,
153506_MMS,WL,13.1,84,40,30,
154513_CMN,WL,7.6,56,80,50,
154513_CMN,WL,12.1,82,80,40,
154513_CMN,DF,14.3,73,60,50,
154513_CMN,DF,17.8,88,40,40,
154053_CMS,WL,9.1,69,30,20,
154053_CMS,WL,10.4,78,40,30,
154053_CMS,WL,16.5,90,40,30,
154053_CMS,WL,7.2,55,80,60,
154053_CMS,WL,11.2,75,40,30,logging damage
154053_CMS,WL,4.3,42,50,30,
154053_CMS,WL,9.1,78,70,30,
154053_CMS,WL,5.8,59,70,40,
152553_CHS,LP,2.5,14,100,90,
152553_CHS,WL,2,13,100,90,
152553_CHS,LP,2.3,14,100,90,
152553_CHS,LP,2.1,14,100,90,
152553_CHS,WL,2,13,100,90,
152553_CHS,WL,2,14,100,90,
153907_CHS,WL,1.1,15,90,70,
153907_CHS,WL,1.5,16,100,80,
153907_CHS,WL,1.3,15,80,70,
153907_CHS,WL,2,18,90,80,
153907_CHS,LP,1.9,15,90,70,
153907_CHS,LP,2,16,90,70,
