Plot_ID,AZ,Species,Height,Count,Notes
78847_DMS,North,DF,<1 m,7,
78847_DMS,North,DF,1-2 m,12,
78847_DMS,North,DF,2-4 m,13,
78847_DMS,North,WL,1-2 m,1,
78847_DMS,North,WL,2-4 m,2,
78847_DMS,East,DF,<1 m,11,
78847_DMS,East,DF,1-2 m,7,
78847_DMS,East,DF,2-4 m,5,
78847_DMS,East,WL,2-4 m,1,
78847_DMS,East,PP,2-4 m,1,
78847_DMS,South,DF,<1 m,9,
78847_DMS,South,DF,1-2 m,11,
78847_DMS,South,DF,2-4 m,16,
78847_DMS,South,WL,1-2 m,2,
78847_DMS,South,WL,2-4 m,4,
78847_DMS,South,LP,2-4 m,1,
78847_DMS,South,PP,2-4 m,1,
78847_DMS,West,DF,<1 m,6,
78847_DMS,West,DF,1-2 m,4,
78847_DMS,West,DF,2-4 m,5,
78847_DMS,West,WL,1-2 m,1,
78847_DMS,West,WL,2-4 m,4,
78847_DMS,West,AS,<1 m,1,
78847_DMS,West,AS,2-4 m,1,
78847_DMS,West,PP,<1 m,1,
146403_DMS,North,DF,<1 m,4,
146403_DMS,North,DF,1-2 m,1,
146403_DMS,East,DF,<1 m,43,
146403_DMS,East,DF,1-2 m,13,
146403_DMS,East,WL,1-2 m,3,
146403_DMS,East,WL,2-4 m,1,
146403_DMS,East,AS,<1 m,1,
146403_DMS,South,DF,<1 m,18,
146403_DMS,South,DF,1-2 m,1,
146403_DMS,South,WL,1-2 m,3,
146403_DMS,West,DF,<1 m,7,
146403_DMS,West,DF,1-2 m,3,
5025_CHN,North,ES,<1 m,4,
5025_CHN,North,ES,1-2 m,5,
5025_CHN,North,ES,2-4 m,5,
5025_CHN,North,DF,2-4 m,1,
5025_CHN,East,ES,<1 m,5,
5025_CHN,East,ES,1-2 m,10,
5025_CHN,East,ES,2-4 m,3,
5025_CHN,South,ES,<1 m,4,
5025_CHN,South,ES,1-2 m,18,
5025_CHN,South,ES,2-4 m,10,
5025_CHN,South,WL,2-4 m,1,
5025_CHN,South,AS,1-2 m,4,
5025_CHN,South,DF,1-2 m,2,
5025_CHN,South,DF,2-4 m,1,
5025_CHN,West,ES,<1 m,18,
5025_CHN,West,ES,1-2 m,25,
5025_CHN,West,ES,2-4 m,9,
5025_CHN,West,DF,2-4 m,1,
117941_DMN,North,DF,<1 m,7,
117941_DMN,North,DF,1-2 m,5,
117941_DMN,North,DF,2-4 m,3,
117941_DMN,North,WL,1-2 m,2,
117941_DMN,North,ES,1-2 m,1,
117941_DMN,East,DF,<1 m,9,
117941_DMN,East,DF,1-2 m,13,
117941_DMN,East,DF,2-4 m,1,
117941_DMN,East,WL,1-2 m,1,
117941_DMN,East,WL,2-4 m,1,
117941_DMN,East,ES,2-4 m,1,
117941_DMN,West,DF,<1 m,38,
117941_DMN,West,DF,1-2 m,15,
117941_DMN,West,AS,<1 m,2,
117941_DMN,West,WL,<1 m,7,
117941_DMN,West,WL,1-2 m,21,
117941_DMN,West,WL,2-4 m,7,
117941_DMN,West,ES,<1 m,1,
117941_DMN,West,ES,1-2 m,1,
117941_DMN,South,DF,<1 m,2,
117870_DHN,North,WL,<1 m,7,
117870_DHN,North,WL,1-2 m,24,
117870_DHN,North,WL,2-4 m,2,
117870_DHN,North,SF,<1 m,13,
117870_DHN,North,SF,1-2 m,9,
117870_DHN,North,DF,<1 m,6,
117870_DHN,North,AS,<1 m,5,
117870_DHN,North,ES,<1 m,1,
117870_DHN,North,LP,<1 m,1,
117870_DHN,East,WL,<1 m,2,
117870_DHN,East,WL,1-2 m,8,
117870_DHN,East,WL,2-4 m,3,
117870_DHN,East,SF,<1 m,5,
117870_DHN,East,SF,1-2 m,6,
117870_DHN,East,DF,<1 m,3,
117870_DHN,East,DF,1-2 m,1,
117870_DHN,East,AS,<1 m,2,
117870_DHN,East,LP,2-4 m,3,
117870_DHN,South,DF,<1 m,9,
117870_DHN,South,DF,1-2 m,9,
117870_DHN,South,WL,<1 m,4,
117870_DHN,South,WL,1-2 m,11,
117870_DHN,South,WL,2-4 m,9,
117870_DHN,South,LP,1-2 m,1,
117870_DHN,South,LP,2-4 m,1,
117870_DHN,South,AS,<1 m,3,
117870_DHN,West,DF,<1 m,5,
117870_DHN,West,DF,1-2 m,2,
117870_DHN,West,WL,<1 m,3,
117870_DHN,West,WL,1-2 m,1,
117870_DHN,West,WL,2-4 m,4,
117870_DHN,West,ES,<1 m,1,
117870_DHN,West,SF,1-2 m,2,
117900_DHN,North,DF,<1 m,19,
117900_DHN,North,LP,<1 m,2,
117900_DHN,North,ES,<1 m,1,
117900_DHN,North,AS,<1 m,3,
117900_DHN,North,WL,<1 m,1,
117900_DHN,North,LP,1-2 m,7,
117900_DHN,North,WL,1-2 m,3,
117900_DHN,North,ES,1-2 m,1,
117900_DHN,East,DF,<1 m,7,
117900_DHN,East,WL,<1 m,3,
117900_DHN,East,AS,<1 m,2,
117900_DHN,East,DF,1-2 m,4,
117900_DHN,East,WL,1-2 m,6,
117900_DHN,East,LP,1-2 m,1,
117900_DHN,East,ES,1-2 m,1,
117900_DHN,South,DF,<1 m,4,
117900_DHN,South,DF,1-2 m,4,
117900_DHN,South,WL,<1 m,2,
117900_DHN,South,WL,1-2 m,7,
117900_DHN,South,WL,2-4 m,2,
117900_DHN,South,LP,1-2 m,1,
117900_DHN,South,LP,2-4 m,11,
117900_DHN,West,DF,<1 m,16,
117900_DHN,West,DF,1-2 m,5,
117900_DHN,West,WL,<1 m,3,
117900_DHN,West,WL,1-2 m,6,
117900_DHN,West,WL,2-4 m,3,
117900_DHN,West,LP,1-2 m,3,
117900_DHN,West,LP,2-4 m,8,
117900_DHN,West,AS,<1 m,4,
117900_DHN,West,ES,1-2 m,4,
118036_CMN,North,DF,<1 m,1,
118036_CMN,North,WL,<1 m,3,
