Plot_ID,Species,Distance,Notes
78847_DMS,Patch Edge,171,Converted from meters to feet
78847_DMS,WL,56,Converted from meters to feet
78847_DMS,AS,98,Converted from meters to feet; AS not typically used for seed source
78847_DMS,DF,105,Converted from meters to feet
78847_DMS,PP,197,Converted from meters to feet
78847_DMS,LP,23,Converted from meters to feet
146403_DMS,Patch Edge,72,
146403_DMS,DF,6,
146403_DMS,WL,185,
146403_DMS,PP,242,
5025_CHN,Patch Edge,5,
5025_CHN,LP,NA,Serotinous cones of dead trees are likely seed source
5025_CHN,WL,17,
5025_CHN,ES,40,
5025_CHN,DF,111,
5025_CHN,RA,55,RA not typically used for seed source
117941_DMN,Patch Edge,55,
117941_DMN,WL,55,
117941_DMN,DF,40,
117941_DMN,PP,NA,No seed source found
117941_DMN,ES,55,
117870_DHN,Patch Edge,231,
117870_DHN,WL,20,
117870_DHN,DF,110,
117870_DHN,LP,NA,Serotinous cones of dead trees are likely seed source
117870_DHN,ES,45,
117870_DHN,SF,58,
117900_DHN,Patch Edge,439,
117900_DHN,LP,NA,Serotinous cones of dead trees are likely seed source
117900_DHN,DF,444,
117900_DHN,ES,557,
117900_DHN,WL,320,
118036_CMN,Patch Edge,46,
118036_CMN,WL,8,
118036_CMN,DF,37,
118036_CMN,SF,15,
118036_CMN,LP,NA,Serotinous cones of dead trees are likely seed source
150974_CHS,Patch Edge,86,
150974_CHS,WL,86,
150974_CHS,DF,112,
150974_CHS,LP,NA,Serotinous cones of dead trees are likely seed source
4517_DHS,Patch Edge,120,
4517_DHS,DF,123,
4517_DHS,LP,NA,Serotinous cones of dead trees are likely seed source
4517_DHS,WL,2,
4517_DHS,ES,139,
4517_DHS,SF,135,
4615_DMN,Patch Edge,103,
4615_DMN,DF,16,
4615_DMN,WL,139,
4644_DMN,Patch Edge,103,
4644_DMN,DF,7,
151200_MMS,Patch Edge,25,
151200_MMS,DF,25,
151200_MMS,WL,37,
151200_MMS,SF,873,
4817_DHN,Patch Edge,415,
4817_DHN,DF,105,
4817_DHN,PP,NA,Most likely seed source on the other side of the ridgeline but not visible within plot
151191_CMS,Patch Edge,55,
151191_CMS,DF,56,
