Worksheet,Variable,Description,Units or Code Descriptions
Plot_Data,Plot_ID,Plot identification number,"1st letter: C = cold-forest, D = dry-mixed conifer, M = moist-mixed conifer; 2nd letter: H = high-severity fire, M = moderature-severity fire; and 3rd letter: N = no management, S = salvage"
Plot_Data,Date,Date of data collection,MM/DD/YYYY
Plot_Data,Abandoned,"Indicates if plot was abandoned. Abandoned plots did not meet criteria for measurement due to proximity to roads, excessive slope, or other factors. ","1=abandoned, 0=not abandoned"
Plot_Data,Planted,Indicates if plot was planted after fire occurred,"1=planted, 0=not planted"
Plot_Data,PCT,Indicates if plot was pre-commercial thinned (PCT) since fire occured.,"1=PCT, 0=no PCT"
Plot_Data,Salvage,Indicates if plot was salvaged after fire occurred,"1=salvage, 0=no salvage"
Plot_Data,Seed_Sap,Size of seedling/sapling plot,S=small 16x0.5meter (m) transect. M=medium 16x2m transect. L=large 16m radius circle
Plot_Data,GPS_ID,GPS point identifier,
Plot_Data,Y_UTM,UTM Y coordinates,meters
Plot_Data,X_UTM,UTM X coordinates,meters
Plot_Data,Time_On,Time at which the GPS unit began recording data,HH:MM am/pm
Plot_Data,Time_Off,Time at which the GPS unit stopped recording data,HH:MM am/pm
Plot_Data,Fuel_Model,Scott/Burgan fuel model code (Scott and Burgan 2005; https://doi.org/10.2737/RMRS-GTR-153),
Plot_Data,Moved,Indicates if plot was relocated from the origional gps coordinates,"1=moved, 0=not moved"
Plot_Data,Notes,Additional information,
Seed_Source,Plot_ID,Plot identification number,"1st letter: C = cold-forest, D = dry-mixed conifer, M = moist-mixed conifer; 2nd letter: H = high-severity fire, M = moderature-severity fire; and 3rd letter: N = no management, S = salvage"
Seed_Source,Species,Species of mature seed-bearing tree that would have been alive and reproductive after fire. ,"AS=quaking aspen, BH=Birch, BM=Bigleaf maple, CW=Black cottonwood, DF=Douglas-fir, ES=Engelmann spruce, GF=grand fir, LP=lodgepole pine, OT=Other, PP=ponderosa pine, RA=red alder, RC=red cedar, SF=silver fir, WA=White alder, WJ = western juniper, WL=western larch, WP=white pine"
Seed_Source,Distance,Distance in feet from plot center to seed tree,feet
Seed_Source,Notes,Additional information,
Overstory,Plot_ID,Plot identification number,"1st letter: C = cold-forest, D = dry-mixed conifer, M = moist-mixed conifer; 2nd letter: H = high-severity fire, M = moderature-severity fire; and 3rd letter: N = no management, S = salvage"
Overstory,Count,Number of individuals of same species and DBH found in the same plot,
Overstory,Species,Species using two-letter alpha code,"AS=quaking aspen, BH=Birch, BM=Bigleaf maple, CW=Black cottonwood, DF=Douglas-fir, ES=Engelmann spruce, GF=grand fir, LP=lodgepole pine, OT=Other, PP=ponderosa pine, RA=red alder, RC=red cedar, SF=silver fir, WA=White alder, WJ = western juniper, WL=western larch, WP=white pine"
Overstory,DBH,Diameter at breast height in inches. Ocular estimate to the nearest 2 inches.,inches
Overstory,Status,Tree status,"Live, D1=decay class 1, D2=decay classes 2 and 3, D3=decay classes 4 and 5 (see Maser et al. 1979)"
Overstory,Notes,Additional information,
Heights,Plot_ID,Plot identification number,"1st letter: C = cold-forest, D = dry-mixed conifer, M = moist-mixed conifer; 2nd letter: H = high-severity fire, M = moderature-severity fire; and 3rd letter: N = no management, S = salvage"
Heights,Species,Species using two-letter alpha code,"AS=quaking aspen, BH=Birch, BM=Bigleaf maple, CW=Black cottonwood, DF=Douglas-fir, ES=Engelmann spruce, GF=grand fir, LP=lodgepole pine, OT=Other, PP=ponderosa pine, RA=red alder, RC=red cedar, SF=silver fir, WA=White alder, WJ = western juniper, WL=western larch, WP=white pine"
Heights,DBH,Tree diameter at breast height in tenths of inches,tenths of inches
Heights,Height,Tree height in feet (of live trees),feet
Heights,TCR,Total Crown Ration: crown ratio to the lowest live branch to the nearest 10%,percent
Heights,CCR,Compacted Crown Ratio to the nearest 10%,percent
Heights,Note,Additional information,
Seed_Sap,Plot_ID,Plot identification number,"1st letter: C = cold-forest, D = dry-mixed conifer, M = moist-mixed conifer; 2nd letter: H = high-severity fire, M = moderature-severity fire; and 3rd letter: N = no management, S = salvage"
Seed_Sap,AZ,Azimuth of transect,"north, south, east, west"
Seed_Sap,Species,Species using two-letter alpha code,"AS=quaking aspen, BH=Birch, BM=Bigleaf maple, CW=Black cottonwood, DF=Douglas-fir, ES=Engelmann spruce, GF=grand fir, LP=lodgepole pine, OT=Other, PP=ponderosa pine, RA=red alder, RC=red cedar, SF=silver fir, WA=White alder, WJ = western juniper, WL=western larch, WP=white pine"
Seed_Sap,Height,Height class,"<1meter (m), 1-2m, 2-4m"
Seed_Sap,Count,Number of individuals of same species and height class found in the same plot transect,
Seed_Sap,Notes,Additional information,
Non_Tree,Plot_ID,Plot identification number,"1st letter: C = cold-forest, D = dry-mixed conifer, M = moist-mixed conifer; 2nd letter: H = high-severity fire, M = moderature-severity fire; and 3rd letter: N = no management, S = salvage"
Non_Tree,AZ,Azimuth of transect,"north, south, east, west"
Non_Tree,Class,Shrub Class ,"TS=tall shrub, S=shrub, SS=sub-shrub and forbes/herbs, GR=all Graminoids (grasses, sedges, rushes), PG=pinegrass (as a subset of all graminoids)"
Non_Tree,Avg_Hgt,Average height to the nearest 0.5 meters,meters
Non_Tree,Max_Hgt,Maximum height to the nearest 0.5 meters,meters
Non_Tree,%_Cvr,Percent cover to the nearest 10% if 10% or greater; 1-9% if less than 10%,percent
Non_Tree,Notes,Additional information,
