UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPE_AREA,SHAPE_LEN
WANES,WA DNR - NE REGION,BUCKEYE,UNKNOWN,1987-01-01,1987-01-01,227.33273899,1987,UNKNOWN,9902574.5,15985.2274111
WANES,WA DNR - NE REGION,STONY PEAK,UNKNOWN,1985-01-01,1985-01-01,289.5896455,1985,UNKNOWN,12614474.5,15780.7544788
WANES,WA DNR - NE REGION,LIBERTY LAKE,UNKNOWN,1985-01-01,1985-01-01,855.37991371,1985,UNKNOWN,37260200.0,38532.7122401
WANES,WA DNR - NE REGION,RAIL CANYON,UNKNOWN,1994-08-01,1994-08-01,102.0968386,1994,UNKNOWN,4447320.5,7985.87123125
WANES,WA DNR - NE REGION,CORK SCREW,UNKNOWN,1994-08-01,1994-08-01,185.87267875,1994,UNKNOWN,8096581.5,11092.8483935
WANES,WA DNR - NE REGION,OWENS RD,UNKNOWN,1994-08-01,1994-08-01,127.00405485,1994,UNKNOWN,5532274.5,9024.13264378
WANES,WA DNR - NE REGION,NEWKIRK - OLD TRAIL RD,UNKNOWN,1997-01-01,1997-01-01,772.41805753,1997,UNKNOWN,33646396.0,29728.5893174
WANES,WA DNR - NE REGION,RIVERSIDE,UNKNOWN,1994-08-01,1994-08-01,455.86572383,1994,UNKNOWN,19857431.5,21359.7259984
WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991-08-01,1991-08-01,407.72478287,1991,UNKNOWN,17760420.5,25519.9609319
WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991-08-01,1991-08-01,235.15460223,1991,UNKNOWN,10243293.5,13718.8566055
WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1973-01-01,1973-01-01,499.72147776,1973,UNKNOWN,21767780.5,19715.3965534
WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991-08-01,1991-08-01,100.46829673,1991,UNKNOWN,4376381.5,8645.80605825
WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991-08-01,1991-08-01,26.39785582,1991,UNKNOWN,1149886.0,4055.3047405
WASES,WA DNR - SE REGION,CLEVELAND FIRE,UNKNOWN,1998-07-27,1998-07-27,18500.4198579,1998,LIGHTNING,805875065.5,143802.559065
WASES,WA DNR - SE REGION,MAJOR CREEK FIRE,UNKNOWN,1999-07-01,1999-07-01,730.60635447,1999,UNKNOWN,31825085.5,34745.4072301
