CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SMPLNNBR,VSTNBR,LAYER_TYPE,SAMPLER_TYPE,QASTATCD,SAMPLE_DATE,LAB_ID,SAMPLE_ID,FIELD_MOIST_SOIL_WT,AIR_DRY_SOIL_WT,OVEN_DRY_SOIL_WT,FIELD_MOIST_WATER_CONTENT_PCT,RESIDUAL_WATER_CONTENT_PCT,TOTAL_WATER_CONTENT_PCT,BULK_DENSITY,COARSE_FRACTION_PCT,C_ORG_PCT,C_INORG_PCT,C_TOTAL_PCT,N_TOTAL_PCT,PH_H2O,PH_CACL2,EXCHNG_NA,EXCHNG_K,EXCHNG_MG,EXCHNG_CA,EXCHNG_AL,ECEC,EXCHNG_MN,EXCHNG_FE,EXCHNG_NI,EXCHNG_CU,EXCHNG_ZN,EXCHNG_CD,EXCHNG_PB,EXCHNG_S,BRAY1_P,OLSEN_P,MEASYEAR,MODIFIED_DATE,CREATED_DATE
29198811010900,24511125010900,2003,53,7,87942,2,1,FF_TOTAL,SF,1,2003-09-15 00:00:00,LOFSL,980,326.75,286.32,270.33,14.12,5.91,20.87,,,47.49,,47.49,1.27,,,,,,,,,,,,,,,,,,,2003,2018-02-23 20:56:54,2008-05-14 15:09:13
29198813010900,24511125010900,2003,53,7,87942,2,1,MIN_1,BD,1,2003-09-15 00:00:00,LOFSL,330,147.8,138.74,137.18,6.53,1.13,7.74,,17.15,5.62,0.29,5.91,0.2,4.95,4.19,0.0,99.56,16.14,238.69,86.96,2.55,26.62,0.0,0.12,0.0,0.5,0.0,0.53,0.0,273.0,,2003,2018-02-23 20:56:54,2008-05-14 15:09:13
29198814010900,24511125010900,2003,53,7,87942,2,1,MIN_2,BD,1,2003-09-15 00:00:00,LOFSL,296,159.17,147.04,145.17,8.25,1.29,9.65,,21.63,1.74,0.28,2.02,0.07,5.75,4.73,0.0,198.5,0.0,208.3,76.08,2.39,11.15,0.0,0.0,0.0,0.12,-0.02,0.14,9.39,130.57,,2003,2018-02-23 20:56:54,2008-05-14 15:09:13
29198812010900,24511125010900,2003,53,7,87942,3,1,FF_TOTAL,SF,1,2003-09-15 00:00:00,LOFSL,981,284.28,251.13,237.54,13.2,5.72,19.68,,,43.39,,43.39,1.01,,,,,,,,,,,,,,,,,,,2003,2018-02-23 20:56:54,2008-05-14 15:09:13
29198807010900,24515062010900,2003,53,9,62049,2,1,FF_TOTAL,SF,1,2003-07-23 00:00:00,LOFSL,801,2860.13,596.34,550.07,379.61,8.41,419.96,,,22.82,,22.82,0.58,,,,,,,,,,,,,,,,,,,2003,2018-02-23 20:56:54,2008-05-14 15:09:13
29198810010900,24515062010900,2003,53,9,62049,2,1,MIN_1,O,1,2003-07-23 00:00:00,LOFSL,263,295.23,166.26,162.79,77.57,2.13,81.35,,13.67,2.98,0.46,3.44,0.17,4.47,3.65,23.33,28.08,65.14,187.2,731.1,9.77,8.84,23.85,0.0,0.0,0.74,0.1,1.08,4.63,7.34,,2003,2018-02-23 20:56:54,2008-05-14 15:09:13
29198808010900,24515062010900,2003,53,9,62049,3,1,FF_TOTAL,SF,1,2003-07-23 00:00:00,LOFSL,802,3883.86,1120.28,974.79,246.69,14.93,298.43,,,22.44,,22.44,0.51,,,,,,,,,,,,,,,,,,,2003,2018-02-23 20:56:54,2008-05-14 15:09:13
29198809010900,24515062010900,2003,53,9,62049,4,1,FF_TOTAL,SF,1,2003-07-23 00:00:00,LOFSL,803,4282.74,832.93,772.06,414.18,7.88,454.72,,,39.43,,39.43,0.84,,,,,,,,,,,,,,,,,,,2003,2018-02-23 20:56:54,2008-05-14 15:09:13
29198867010900,24524302010900,2003,53,19,75195,2,1,FF_TOTAL,SF,1,2003-09-17 00:00:00,LOFSL,977,228.21,117.07,107.92,94.93,8.48,111.46,,,33.71,,33.71,1.03,,,,,,,,,,,,,,,,,,,2003,2018-02-23 20:56:54,2008-05-14 15:09:12
29198870010900,24524302010900,2003,53,19,75195,2,1,MIN_1,BD,1,2003-09-17 00:00:00,LOFSL,329,145.69,130.56,129.1,11.59,1.13,12.85,,15.96,1.74,0.31,2.05,0.09,5.25,4.43,0.0,88.05,87.79,768.79,17.61,4.98,20.18,0.0,0.19,0.0,1.53,0.0,0.31,0.0,136.81,,2003,2018-02-23 20:56:54,2008-05-14 15:09:12
